22.5,62.4,31.9,63.7,74.1,1.05,9.3,300.0,124.0,55.9,59.2,65.6,7370.0,14.9,43.5,130.0,73.9,254.0,5.7,5.7
24.4,67.4,34.7,50.5,68.3,1.0,10.0,311.0,128.0,49.6,74.4,68.3,5790.0,14.3,50.7,127.0,90.0,247.0,5.7,5.7
24.0,87.2,29.4,54.1,46.8,1.53,9.7,298.0,111.0,75.9,57.3,70.1,11800.0,17.0,52.4,80.3,70.4,241.0,5.7,5.7
26.4,83.1,30.6,46.0,48.3,1.14,10.8,304.0,119.0,46.6,64.5,73.9,1550.0,19.0,48.7,111.0,83.9,229.0,5.7,5.7
25.8,80.9,32.0,44.2,60.3,1.45,9.0,279.0,130.0,77.8,59.6,70.2,8860.0,16.4,36.8,98.4,94.5,268.0,5.7,5.7
21.1,57.8,28.0,40.6,73.9,1.03,9.2,287.0,104.0,48.2,50.4,64.0,7170.0,11.8,39.8,77.1,63.6,224.0,5.7,5.7
24.6,48.9,31.2,43.9,69.4,1.14,10.7,327.0,116.0,50.2,63.1,72.1,8440.0,15.7,47.2,95.4,82.3,247.0,5.7,5.7
25.9,66.4,33.8,52.7,58.6,1.26,11.5,384.0,154.0,64.4,58.8,61.5,11600.0,14.5,46.3,86.7,79.3,295.0,5.7,5.7
25.1,62.1,32.1,53.5,56.7,1.08,10.7,391.0,155.0,60.1,62.6,72.4,10500.0,16.7,46.1,74.5,75.7,294.0,5.7,5.7
23.6,57.4,34.0,49.0,72.5,1.02,10.5,313.0,119.0,53.5,60.9,70.1,4940.0,15.6,58.1,98.1,96.7,246.0,5.7,5.7
22.1,58.8,26.4,49.6,72.4,1.04,10.2,275.0,113.0,60.4,56.9,61.9,9300.0,15.2,43.6,92.7,74.0,211.0,5.7,5.7
24.2,61.2,27.4,46.5,62.4,1.15,10.2,287.0,118.0,58.2,58.6,69.5,7990.0,18.1,39.0,102.0,75.1,203.0,5.7,5.7
31.8,72.9,48.6,60.0,92.0,1.18,12.8,455.0,181.0,67.8,78.4,100.0,6590.0,18.9,63.1,122.0,114.0,364.0,5.7,5.7
24.1,59.7,30.3,60.2,59.7,0.96,9.0,285.0,110.0,55.5,54.9,52.2,7060.0,15.1,45.7,76.8,64.7,233.0,5.7,5.7
24.6,51.2,27.9,55.5,60.8,1.04,9.6,279.0,110.0,57.6,47.6,76.4,6290.0,17.1,50.0,72.5,80.6,237.0,5.7,5.7
30.7,73.9,43.6,83.1,75.7,1.75,11.3,286.0,133.0,59.4,64.2,71.1,12000.0,15.5,38.9,135.0,92.6,226.0,5.7,5.7
24.3,56.9,28.4,48.6,41.0,1.49,10.2,306.0,118.0,55.1,64.3,58.0,9830.0,11.9,38.1,120.0,70.6,241.0,5.7,5.7
27.5,67.4,33.5,63.2,64.8,1.23,10.2,366.0,154.0,63.8,65.7,66.6,8030.0,18.2,49.9,88.9,79.2,291.0,5.7,5.7
